LEAID,LEA_NAME,SCHID,SCH_NAME,CITY,COMBOKEY,NMCNTY,LOCALE,LAT,LON
600011,Fort Sage Unified,12763,Mt. Lassen Charter,Herlong,60001112763,Lassen County,33,40.4211,-120.650932
600034,Windsor Unified,6983,Cali Calmecac Language Academy,Windsor,60003406983,Sonoma County,21,38.550242,-122.82712
600036,Natomas Unified,11087,Westlake Charter,Sacramento,60003611087,Sacramento County,11,38.67564,-121.526258
600036,Natomas Unified,11735,Natomas Pacific Pathways Prep,Sacramento,60003611735,Sacramento County,11,38.6551,-121.546082
600036,Natomas Unified,12523,Natomas Pacific Pathways Prep Middle,Sacramento,60003612523,Sacramento County,11,38.6551,-121.546082
600036,Natomas Unified,13189,Leroy Greene Academy,Sacramento,60003613189,Sacramento County,11,38.610646,-121.527983
600036,Natomas Unified,14043,Natomas Pacific Pathways Prep Elementary,Sacramento,60003614043,Sacramento County,11,38.651228,-121.525268
600047,Tracy Joint Unified,14472,Tracy Independent Study Charter,Tracy,60004714472,San Joaquin County,23,37.747601,-121.452584
600061,Riverbank Unified,11925,Riverbank Language Academy,Riverbank,60006111925,Stanislaus County,21,37.734392,-120.953554
600062,Oakdale Joint Unified,6752,Oakdale Charter,Oakdale,60006206752,Stanislaus County,21,37.7731,-120.838
600064,Porterville Unified,12042,Butterfield Charter,Porterville,60006412042,Tulare County,23,36.092278,-119.037634
600064,Porterville Unified,12356,Harmony Magnet Academy,Strathmore,60006412356,Tulare County,41,36.143243,-119.063831
600064,Porterville Unified,14357,Porterville Military Academy,Porterville,60006414357,Tulare County,23,36.092278,-119.037634
600116,Chawanakee Unified,7170,Chawanakee Academy Charter,O'Neals,60011607170,Madera County,42,37.124457,-119.729959
600116,Chawanakee Unified,13035,Minarets Charter High,O'Neals,60011613035,Madera County,42,37.124457,-119.729959
601332,Twin Rivers Unified,4148,Smythe Academy of Arts and Sciences,Sacramento,60133204148,Sacramento County,11,38.615271,-121.476073
601332,Twin Rivers Unified,5023,Westside Preparatory Charter,Rio Linda,60133205023,Sacramento County,21,38.686459,-121.466628
601332,Twin Rivers Unified,11074,Creative Connections Arts Academy,North Highlands,60133211074,Sacramento County,21,38.700571,-121.370196
601414,Santa Barbara Unified,2792,Santa Barbara Charter,Goleta,60141402792,Santa Barbara County,22,34.4499,-119.8351
601426,Bonsall Unified,6481,Vivian Banks Charter,Pala,60142606481,San Diego County,42,33.36578,-117.073417
601427,Penn Valley Union Elementary,2295,Vantage Point Charter,Penn Valley,60142702295,Nevada County,32,39.195037,-121.181187
601461,Magnolia Science Academy Santa Ana District,12419,Magnolia Science Academy Santa Ana,Santa Ana,60146112419,Orange County,11,33.744302,-117.908212
601462,River Valley Charter District,7308,River Valley Charter,Lakeside,60146207308,San Diego County,21,32.853301,-116.939229
601463,Vista Springs Charter District,14373,Vista Springs Charter,Vista,60146314373,San Diego County,21,33.220727,-117.234405
601464,Community Montessori District,13054,Community Montessori,Escondido,60146413054,San Diego County,21,33.129492,-117.112154
601465,Oakland Charter High District,12041,Oakland Charter High,Oakland,60146512041,Alameda County,11,37.78591,-122.219635
601466,Girls Athletic Leadership School Los Angeles District,13973,Girls Athletic Leadership School Los Angeles,Panorama City,60146613973,Los Angeles County,11,34.216658,-118.44931
601467,Pacific Community Charter District,8155,Pacific Community Charter,Point Arena,60146708155,Mendocino County,43,38.913248,-123.692667
601468,America's Finest Charter District,14198,America's Finest Charter School,San Diego,60146814198,San Diego County,11,32.712839,-117.098047
601469,Sycamore Valley Academy District,13015,Sycamore Valley Academy,Visalia,60146913015,Tulare County,41,36.298113,-119.42025
601470,Crete Academy District,14100,Crete Academy,Los Angeles,60147014100,Los Angeles County,11,33.984455,-118.331238
601471,Accelerated Charter Elementary District,10830,Accelerated Charter Elementary,Los Angeles,60147110830,Los Angeles County,11,34.015085,-118.273361
601472,Ocean Grove Charter District,11464,Ocean Grove Charter,Boulder Creek,60147211464,Santa Cruz County,41,37.168387,-122.134761
601473,Classical Academy Vista District,14298,Classical Academy Vista,Vista,60147314298,San Diego County,21,33.172488,-117.220689
601474,B. Roberto Cruz Leadership Academy District,13927,B. Roberto Cruz Leadership Academy,San Jose,60147413927,Santa Clara County,11,37.359535,-121.815289
601475,Pathways to College K8 District,11746,Pathways to College K8,Hesperia,60147511746,San Bernardino County,21,34.417182,-117.3085
601477,New Heights Charter District,11630,New Heights Charter,Los Angeles,60147711630,Los Angeles County,11,34.010607,-118.317697
601478,Meadows Arts and Technology Elementary District,12541,Meadows Arts and Technology Elementary,Thousand Oaks,60147812541,Ventura County,12,34.192841,-118.841759
601479,American Indian Public Charter District,5673,AIMS College Prep Middle School,Oakland,60147905673,Alameda County,11,37.800157,-122.265641
601480,Sol Aureus College Preparatory District,11198,Sol Aureus College Preparatory,Sacramento,60148011198,Sacramento County,11,38.50764,-121.527027
601481,SOAR Charter Academy District,12377,SOAR Charter Academy,San Bernardino,60148112377,San Bernardino County,12,34.092659,-117.286934
601483,SD Global Vision Academy District,12630,San Diego Global Vision Academy,San Diego,60148312630,San Diego County,11,32.762641,-117.119061
601484,PUC Triumph CHRTR Academy & PUC Triumph CHRTR High District,12812,PUC Triumph Charter Academy and PUC Triumph Charter High,Sylmar,60148412812,Los Angeles County,11,34.314435,-118.459941
601485,Crescent Valley Public Charter II District,14209,Crescent Valley Public Charter II,Visalia,60148514209,Tulare County,12,36.33039,-119.291706
601486,Palm Lane Elementary Charter District,162,Palm Lane Elementary Charter,Anaheim,60148600162,Orange County,11,33.81558,-117.938151
601487,Mojave River Academy - Route 66 District,14233,Mojave River Academy - Route 66,Victorville,60148714233,San Bernardino County,21,34.521016,-117.304015
601488,Palisades Charter High District,4593,Palisades Charter High,Pacific Palisades,60148804593,Los Angeles County,11,34.047871,-118.531105
601489,The Heights Charter District,13185,The Heights Charter,Alpine,60148913185,San Diego County,21,32.835301,-116.75497
601490,CHIME Institute's Schwarzenegger Community District,8724,CHIME Institute's Schwarzenegger Community,Woodland Hills,60149008724,Los Angeles County,11,34.165223,-118.562771
601493,Downtown Charter Academy District,13752,Downtown Charter Academy,Oakland,60149313752,Alameda County,11,37.7805,-122.241007
601494,Los Angeles Leadership Academy District,10517,Los Angeles Leadership Academy,Los Angeles,60149410517,Los Angeles County,11,34.08322,-118.210608
601495,Wilder's Preparatory Academy Charter Middle District,12247,Wilder's Preparatory Academy Charter Middle,Inglewood,60149512247,Los Angeles County,21,33.974365,-118.357358
601496,Aspire Triumph Technology Academy District,10724,Aspire Triumph Technology Academy,Oakland,60149610724,Alameda County,11,37.774025,-122.182519
